name,state,lat,lon,population,country
New York,NY,40.6943,-73.9249,19268388,US
Los Angeles,CA,34.1141,-118.4068,11984083,US
Chicago,IL,41.8375,-87.6866,8609571,US
Miami,FL,25.784,-80.2101,6391670,US
Houston,TX,29.786,-95.3885,6227666,US
Dallas,TX,32.7935,-96.7667,5968322,US
Philadelphia,PA,40.0077,-75.1339,5782653,US
Toronto,ON,43.7417,-79.3733,5647656,CA
Atlanta,GA,33.7628,-84.422,5298788,US
Washington,DC,38.9047,-77.0163,5230370,US
Boston,MA,42.3188,-71.0852,4453352,US
Phoenix,AZ,33.5722,-112.0892,4121103,US
Detroit,MI,42.3834,-83.1024,3773725,US
Montreal,QC,45.5089,-73.5617,3675219,CA
Seattle,WA,47.6211,-122.3244,3642006,US
San Francisco,CA,37.7558,-122.4449,3417736,US
San Diego,CA,32.8313,-117.1222,3064435,US
Tampa,FL,27.9945,-82.4447,2957531,US
Minneapolis,MN,44.9635,-93.2678,2937866,US
Brooklyn,NY,40.6501,-73.9496,2736074,US
Denver,CO,39.762,-104.8758,2714768,US
Vancouver,BC,49.25,-123.1,2426160,CA
Queens,NY,40.7498,-73.7976,2405464,US
Riverside,CA,33.9381,-117.3949,2333040,US
Las Vegas,NV,36.2333,-115.2654,2299189,US
Baltimore,MD,39.3051,-76.6144,2201673,US
St. Louis,MO,38.6359,-90.2451,2129918,US
Portland,OR,45.5371,-122.65,2115140,US
San Antonio,TX,29.4632,-98.5238,2096390,US
Sacramento,CA,38.5677,-121.4685,1975489,US
Orlando,FL,28.4773,-81.337,1948155,US
Austin,TX,30.3005,-97.7522,1940039,US
San Jose,CA,37.3012,-121.848,1827643,US
San Juan,PR,18.3985,-66.061,1813477,US
Indianapolis,IN,39.7771,-86.1458,1767321,US
Pittsburgh,PA,40.4397,-79.9763,1729616,US
Cincinnati,OH,39.1413,-84.506,1726642,US
Kansas City,MO,39.1238,-94.5541,1714910,US
Cleveland,OH,41.4764,-81.6805,1695555,US
Manhattan,NY,40.7834,-73.9662,1694263,US
Columbus,OH,39.9862,-82.9855,1635039,US
Charlotte,NC,35.2083,-80.8303,1488249,US
Bronx,NY,40.8501,-73.8662,1472654,US
Virginia Beach,VA,36.7335,-76.0435,1441893,US
Jacksonville,FL,30.3322,-81.6749,1335714,US
Calgary,AB,51.05,-114.0667,1306784,CA
Providence,RI,41.823,-71.4187,1292041,US
Milwaukee,WI,43.0642,-87.9675,1291752,US
Nashville,TN,36.1715,-86.7842,1201962,US
Salt Lake City,UT,40.7776,-111.9311,1183003,US
Raleigh,NC,35.8324,-78.6429,1179118,US
Edmonton,AB,53.5344,-113.4903,1151635,CA
Richmond,VA,37.5295,-77.4756,1098457,US
Ottawa,ON,45.4247,-75.695,1068821,CA
Memphis,TN,35.1087,-89.9663,1037125,US
Oklahoma City,OK,35.4676,-97.5136,1017828,US
Hartford,CT,41.7661,-72.6834,990793,US
Louisville,KY,38.1663,-85.6485,988018,US
Fort Worth,TX,32.7817,-97.3474,963194,US
Bridgeport,CT,41.1918,-73.1954,945974,US
Buffalo,NY,42.9018,-78.8487,934832,US
New Orleans,LA,30.0687,-89.9288,928503,US
